,Station1,Station1_Lat,Station1_Lon,Station2,Station2_Lat,Station2_Lon,velocity_period_1,velocity_period_2,velocity_period_3,velocity_period_4,velocity_period_5,velocity_period_6,velocity_period_7,velocity_period_8,velocity_period_9,velocity_period_10,velocity_period_11,velocity_period_12,velocity_period_13,velocity_period_14,velocity_period_15
219,CC.FLAT,46.18951,-122.35646,UW.COWS,47.6656,-121.93075,,,,,,,,,,,,,,,
220,UW.RATT,47.42546,-121.80254,UW.TOUT,46.30318,-122.56306,,,,,,,,,,,,,,,
221,CC.SIFT,46.86683,-121.95329,UW.LCW2,46.66293,-122.6973,,,,,3.543017923036373,,,,,,,,,,
222,CC.PARA,46.786441,-121.742195,UW.PUPY,46.49542,-122.14613,,,,,,,,,,,,,,,
223,CC.SEP,46.19978,-122.190857,YH.MF85,46.3932,-122.280296,,,,,,,,,,,,,,,
224,UW.TRW,46.292068,-120.543121,XU.N130,47.247002,-121.047997,,,,,,,,,,,,,,,
225,CC.CARB,46.98832,-122.00541,UW.LCW2,46.66293,-122.6973,,,,,,,,,,,,,,,
226,UW.LO2,46.750599,-121.809601,XU.E050,46.768902,-122.091599,,,,,,,,,,,,,,,
227,TA.D05A,47.188099,-121.9888,UW.SLF,47.76058,-120.52946,,,,,,,,,,,,,,,
228,UW.MEW,47.20184,-122.6473,XU.E060,46.626499,-121.264503,,,,,2.5823814259881166,,,,,,,,,,
229,UW.ETW,47.60451,-120.33265,UW.WATCH,46.5707,-121.98712,,,,,2.444481333333333,,,,,,,,,,
230,UW.STAR,46.850849,-121.792953,XD.MH09,46.297668,-121.801033,,,,,,,,,,,,,,,
231,UW.STOR,47.188099,-121.9888,YH.MF64,46.329498,-122.295197,,,,,2.682717255862793,,,,,,,,,,
